ESRB;PlatformMap_ESRB
3DO;Panasonic 3DO
Amazon;Amazon
Android;Android
Atari Jaguar;Atari Jaguar
Atari Lynx;Atari Lynx
Cable Box;TV
CDI;Compact Disc Interactive
Connected TV's;TV
Digital TV;TV
Dreamcast;Sega Dreamcast
DS;n.a.
DVD;DVD Game
Game Boy;Nintendo Game Boy
Game Boy Advance;Nintendo Game Boy Advance
Game Boy Color;Nintendo Game Boy Color
Game Gear;Sega Game Gear
GameCube;Nintendo GameCube
Genesis;Sega Mega Drive
Gizmondo;Gizmondo
Hyperscan;Mattel HyperScan
iOS;iOS
iPAD;iPad
iPad;iPad
iPod;iPod
iPod Touch;iPod Touch
IPTV;TV
Linux;Linux
Linux based PC;Linux
Linux PC;Linux
Linux/SteamOS;Steam OS
Macintosh;Apple Mac OS
Mobile Phone;Mobile
Neo Geo Pocket Color;Neo Geo Pocket Color
New Nintendo 3DS;Nintendo 3DS
N-Gage;Nokia N-Gage
Nintendo;n.a.
Nintendo 3DS;Nintendo 3DS
Nintendo 64;Nintendo 64
Nintendo DS;Nintendo DS
Nintendo DSi;Nintendo DSi
Nintendo Game Boy;Nintendo Game Boy
Nintendo Switch;Nintendo Switch
No Platform;No Platform
NUON;NUON
Online;Online
Palm Pilot;Palm Pilot
PC DVD;PC
PC DVD-ROM;PC
PDA;PDA
PlayStation 2;Sony PlayStation 2
PlayStation 3;Sony PlayStation 3
PlayStation 4;Sony PlayStation 4
PlayStation Certified Device;PlayStation Certified Device
PlayStation/PS one;Sony PlayStation
Plug-and-Play;Plug and Play
Pocket Arcade;Pocket Arcade
Pocket PC;Pocket PC
Pokemon Mini;Pokemon Mini
PS Vita;Sony PlayStation Vita
PSP;Sony PlayStation Portable
Samsung TV;TV
Samsung TV (model Pavv Bordo);TV
Samsung TV (model: Pavv Bordo);TV
Samsung TV 750;TV
Sega 32X;Sega Mega Drive
Sega CD;Sega Mega Drive
Sega Dreamcast;Sega Dreamcast
Sega Genesis;Sega Mega Drive
Sega Pico;Sega Pico
Sega Pocket Arcade;Sega Pocket Arcade
Sega Saturn;Sega Saturn
Sifteo Cubes;Sifteo Cubes
Steam OS;Steam OS
Super Nintendo;Super Nintendo Entertainment System
VG Pocket;Pelican VG Pocket
Virtual Boy;Nintendo Virtual Boy
Web Browser;Online
Web TV;Online
Wii;Nintendo Wii
Wii U;Nintendo Wii U
Windows CE;PC
Windows PC;PC
Windows Phone;Windows Phone
Xbox;Microsoft Xbox
Xbox 360;Microsoft Xbox 360
Xbox One;Microsoft Xbox One
Xbox One X;Microsoft Xbox One
Zodiac;Tapwave Zodiac
