GAMEFAQS,PlatformMap_GAMEFAQS
3do,Panasonic 3DO
3ds,Nintendo 3DS
dreamcast,Sega Dreamcast
gameboy,Nintendo Game Boy
gamecube,Nintendo GameCube
gamegear,Sega Game Gear
gbc,Nintendo Game Boy
genesis,Sega Mega Drive
jaguar,Atari Jaguar
n64,Nintendo 64
neo,SNK Neo Geo
nes,Nintendo Entertainment System
ps,Sony PlayStation
ps2,Sony PlayStation 2
ps3,Sony PlayStation 3
ps4,Sony PlayStation 4
psp,Sony PlayStation Portable
saturn,Sega Saturn
sega32x,Sega Mega Drive
segacd,Sega Mega Drive
sms,Sega Master System
snes,Super Nintendo Entertainment System
tg16,NEC PC Engine
virtualboy,Nintendo Virtual Boy
vita,Sony PlayStation Vita
wonderswan,Bandai WonderSwan
wsc,Bandai WonderSwan
xbox,Microsoft Xbox
xbox360,Microsoft Xbox 360
xboxone,Microsoft Xbox One
wii,Nintendo Wii
wii-u,Nintendo Wii U
gba,Nintendo Game Boy Advance
ngpc,SNK Neo Geo Pocket
neogeocd,SNK Neo Geo CD
ds,Nintendo DS
pc88,NEC PC Engine
turbocd,NEC PC Engine
famicomds,Nintendo Entertainment System
pcfx,NEC PC Engine
