MEDIAART;PlatformMap_MEDIAART
3DO REAL;Panasonic 3DO
DSiウェア;Nintendo DSi
NINTENDO64;Nintendo 64
PC-FX;NEC PC Engine
PCエンジン;NEC PC Engine
Wii;Nintendo Wii
Wii U;Nintendo Wii U
Xbox;Microsoft Xbox
Xbox 360;Microsoft Xbox 360
Xbox One;Microsoft Xbox One
ゲームアーカイブス;Game Archives
ゲームギア;Sega Game Gear
ゲームボーイ;Nintendo Game Boy
ゲームボーイアドバンス;Nintendo Game Boy Advance
スーパーファミコン;Super Nintendo Entertainment System
セガサターン;Sega Saturn
ドリームキャスト;Sega Dreamcast
ニンテンドー3DS;Nintendo 3DS
ニンテンドーDS;Nintendo DS
ニンテンドーゲームキューブ;Nintendo GameCube
ネオジオ;SNK Neo Geo
ネオジオCD;SNK Neo Geo CD
ネオジオポケット;SNK Neo Geo Pocket
ファミリーコンピュータ;Nintendo Entertainment System
プレイステーション;Sony PlayStation
プレイステーション Now;Sony PlayStation Now
プレイステーション Vita;Sony PlayStation Vita
プレイステーション2;Sony PlayStation 2
プレイステーション3;Sony PlayStation 3
プレイステーション4;Sony PlayStation 4
プレイステーション・ポータブル;Sony PlayStation Portable
メガドライブ;Sega Mega Drive
ワンダースワン;Bandai WonderSwan
