USK	PlatformMap_USK
Amiga CD32	Amiga CD32
Amiga Computer	Amiga Computer
Android	Android
Atari 2600	Atari 2600
Atari Jaguar	Atari Jaguar
Blu-ray-Player	Blu-ray Game
Coverdisk	Coverdisk
DVD-Player	DVD Game
GFA-Handheld	GFA-Handheld
Gizmondo	Gizmondo
GP 32	GP 32
iOS	iOS
Lerncomputer	Lerncomputer
LS 2000	LS 2000
Macintosh-PC	Apple Mac OS
MEGA CD II	Sega Mega Drive
Microsoft XBOX	Microsoft Xbox
Microsoft XBOX 360	Microsoft Xbox 360
Microsoft XBOX ONE	Microsoft Xbox One
Mobile Game	Mobile
New Nintendo 3DS	Nintendo 3DS
Nintendo 3DS	Nintendo 3DS
Nintendo 64	Nintendo 64
Nintendo DS	Nintendo DS
Nintendo DSi	Nintendo DSi
Nintendo Gameboy	Nintendo Game Boy
Nintendo Gameboy Advance	Nintendo Game Boy Advance
Nintendo GameCube	Nintendo GameCube
Nintendo Switch	Nintendo Switch
Nintendo Wii	Nintendo Wii
Nintendo Wii U	Nintendo Wii U
Nokia N-Gage	Nokia N-Gage
Panasonic 3DO	Panasonic 3DO
PC	PC
PC/Mac-PC	PC
Philips CD-I	Philips CD-I
Pocket-PC	Pocket PC
Pokemon Mini	Pokemon Mini
SEGA 32 X	Sega Mega Drive
SEGA-Dreamcast	Sega Dreamcast
SEGA-Megadrive	Sega Mega Drive
SEGA-Saturn	Sega Saturn
Sony-Playstation 1	Sony PlayStation
Sony-Playstation 2	Sony PlayStation 2
Sony-Playstation 3	Sony PlayStation 3
Sony-Playstation 4	Sony PlayStation 4
Sony-PS Mobile	Sony Playstation Mobile
Sony-PS VITA	Sony PlayStation Vita
Sony-PSP	Sony PlayStation Portable
Trailer	Trailer
TV-Game	TV
V. Smile	V. Smile
Windows Mobile	Windows Mobile
Windows Phone 7	Windows Phone 7
XD Theater	XD Theater
